audit_timestamp,payment_id,order_id,payment_amount,status,exception_type,settlement_id,settlement_amount,match_method,risk_level,auto_resolvable,recommended_action,decision_explanation
2026-08-25T21:34:40,PAY0001,ORD0001,799,MATCHED,,SET0001,799.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0001 matched settlement SET0001 using EXACT_REFERENCE. Payment amount 799 matches settlement amount 799.0.
2026-08-25T21:34:40,PAY0002,ORD0002,1999,MATCHED,,SET0002,1999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0002 matched settlement SET0002 using EXACT_REFERENCE. Payment amount 1999 matches settlement amount 1999.0.
2026-08-25T21:34:40,PAY0003,ORD0003,999,MATCHED,,SET0003,999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0003 matched settlement SET0003 using EXACT_REFERENCE. Payment amount 999 matches settlement amount 999.0.
2026-08-25T21:34:40,PAY0004,ORD0004,799,MATCHED,,SET0004,799.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0004 matched settlement SET0004 using EXACT_REFERENCE. Payment amount 799 matches settlement amount 799.0.
2026-08-25T21:34:40,PAY0005,ORD0005,499,MATCHED,,SET0005,499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0005 matched settlement SET0005 using EXACT_REFERENCE. Payment amount 499 matches settlement amount 499.0.
2026-08-25T21:34:40,PAY0006,ORD0006,1499,MATCHED,,SET0006,1499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0006 matched settlement SET0006 using EXACT_REFERENCE. Payment amount 1499 matches settlement amount 1499.0.
2026-08-25T21:34:40,PAY0007,ORD0007,1499,MATCHED,,SET0007,1499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0007 matched settlement SET0007 using EXACT_REFERENCE. Payment amount 1499 matches settlement amount 1499.0.
2026-08-25T21:34:40,PAY0008,ORD0008,4999,MATCHED,,SET0008,4999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0008 matched settlement SET0008 using EXACT_REFERENCE. Payment amount 4999 matches settlement amount 4999.0.
2026-08-25T21:34:40,PAY0009,ORD0009,499,MATCHED,,SET0009,499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0009 matched settlement SET0009 using EXACT_REFERENCE. Payment amount 499 matches settlement amount 499.0.
2026-08-25T21:34:40,PAY0010,ORD0010,2999,MATCHED,,SET0010,2999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0010 matched settlement SET0010 using EXACT_REFERENCE. Payment amount 2999 matches settlement amount 2999.0.
2026-08-25T21:34:40,PAY0011,ORD0011,999,MATCHED,,SET0011,999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0011 matched settlement SET0011 using EXACT_REFERENCE. Payment amount 999 matches settlement amount 999.0.
2026-08-25T21:34:40,PAY0012,ORD0012,2499,MATCHED,,SET0012,2499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0012 matched settlement SET0012 using EXACT_REFERENCE. Payment amount 2499 matches settlement amount 2499.0.
2026-08-25T21:34:40,PAY0013,ORD0013,2999,MATCHED,,SET0013,2999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0013 matched settlement SET0013 using EXACT_REFERENCE. Payment amount 2999 matches settlement amount 2999.0.
2026-08-25T21:34:40,PAY0014,ORD0014,2499,MATCHED,,SET0014,2499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0014 matched settlement SET0014 using EXACT_REFERENCE. Payment amount 2499 matches settlement amount 2499.0.
2026-08-25T21:34:40,PAY0015,ORD0015,499,MATCHED,,SET0015,499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0015 matched settlement SET0015 using EXACT_REFERENCE. Payment amount 499 matches settlement amount 499.0.
2026-08-25T21:34:40,PAY0016,ORD0016,799,MATCHED,,SET0016,799.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0016 matched settlement SET0016 using EXACT_REFERENCE. Payment amount 799 matches settlement amount 799.0.
2026-08-25T21:34:40,PAY0017,ORD0017,1999,MATCHED,,SET0017,1999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0017 matched settlement SET0017 using EXACT_REFERENCE. Payment amount 1999 matches settlement amount 1999.0.
2026-08-25T21:34:40,PAY0018,ORD0018,1499,MATCHED,,SET0018,1499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0018 matched settlement SET0018 using EXACT_REFERENCE. Payment amount 1499 matches settlement amount 1499.0.
2026-08-25T21:34:40,PAY0019,ORD0019,1499,MATCHED,,SET0019,1499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0019 matched settlement SET0019 using EXACT_REFERENCE. Payment amount 1499 matches settlement amount 1499.0.
2026-08-25T21:34:40,PAY0020,ORD0020,1499,MATCHED,,SET0020,1499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0020 matched settlement SET0020 using EXACT_REFERENCE. Payment amount 1499 matches settlement amount 1499.0.
2026-08-25T21:34:40,PAY0021,ORD0021,1999,MATCHED,,SET0021,1999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0021 matched settlement SET0021 using EXACT_REFERENCE. Payment amount 1999 matches settlement amount 1999.0.
2026-08-25T21:34:40,PAY0022,ORD0022,2499,MATCHED,,SET0022,2499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0022 matched settlement SET0022 using EXACT_REFERENCE. Payment amount 2499 matches settlement amount 2499.0.
2026-08-25T21:34:40,PAY0023,ORD0023,2499,MATCHED,,SET0023,2499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0023 matched settlement SET0023 using EXACT_REFERENCE. Payment amount 2499 matches settlement amount 2499.0.
2026-08-25T21:34:40,PAY0024,ORD0024,1999,MATCHED,,SET0024,1999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0024 matched settlement SET0024 using EXACT_REFERENCE. Payment amount 1999 matches settlement amount 1999.0.
2026-08-25T21:34:40,PAY0025,ORD0025,999,MATCHED,,SET0025,999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0025 matched settlement SET0025 using EXACT_REFERENCE. Payment amount 999 matches settlement amount 999.0.
2026-08-25T21:34:40,PAY0026,ORD0026,4999,MATCHED,,SET0026,4999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0026 matched settlement SET0026 using EXACT_REFERENCE. Payment amount 4999 matches settlement amount 4999.0.
2026-08-25T21:34:40,PAY0027,ORD0027,1499,MATCHED,,SET0027,1499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0027 matched settlement SET0027 using EXACT_REFERENCE. Payment amount 1499 matches settlement amount 1499.0.
2026-08-25T21:34:40,PAY0028,ORD0028,499,MATCHED,,SET0028,499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0028 matched settlement SET0028 using EXACT_REFERENCE. Payment amount 499 matches settlement amount 499.0.
2026-08-25T21:34:40,PAY0029,ORD0029,499,MATCHED,,SET0029,499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0029 matched settlement SET0029 using EXACT_REFERENCE. Payment amount 499 matches settlement amount 499.0.
2026-08-25T21:34:40,PAY0030,ORD0030,1999,MATCHED,,SET0030,1999.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0030 matched settlement SET0030 using EXACT_REFERENCE. Payment amount 1999 matches settlement amount 1999.0.
2026-08-25T21:34:40,PAY0031,ORD0031,2499,MATCHED,,SET0031,2499.0,EXACT_REFERENCE,NONE,True,No action required,Payment PAY0031 matched settlement SET0031 using EXACT_REFERENCE. Payment amount 2499 matches settlement amount 2499.0.
